CASEID	COUNTY	PUBLIC_WATER_SUPPLY	POPULATION_SERVED	SAMPLING_DATE	SAMPLE_NUMBER	RAW_OR_TREATED	PFOA_PFOS_PPT	TOTAL_TESTED_PFAS_PPT	METHOD
198	OAKLAND	Cranberry Lake MHC	820	18-JUN-2018	GW1806180910	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
199	OAKLAND	Lakeshore Hilltop Apartments	82	20-JUN-2018	GW1806201145EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
200	KENT	Kent City Mobile Home Park	185	18-APR-2018	GW1804180950CKA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
201	KENT	La-E-Ma Mobile Home Park	72	19-APR-2018	GW1804191320CKA	Raw Water	ND	ND	EPA 537 Rev. 1.1
202	ALLEGAN	Pine Ridge Community, Inc.	122	05-JUN-2018	GW1806051515KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
203	OAKLAND	Colombiere Center	60	19-JUN-2018	GW1806191250EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
204	ALLEGAN	Greenfiled Estates	39	06-JUN-2018	GW1806061240KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
205	KENT	Lincoln Pines	390	30-MAY-2018	GW1805301255GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
206	OAKLAND	Highland Township	3472	14-JUN-2018	GW1806141145EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
207	KENT	Parkwood Green	270	18-APR-2018	GW1804181425CKA	Raw Water	ND	ND	EPA 537 Rev. 1.1
208	KENT	Grand Valley Estates	288	05-JUN-2018	GW1806050900GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
209	KENT	Sand Lake	492	16-APR-2018	GW1804161110JNR	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
210	KENT	Saddle Ridge Condo Assoc.	156	17-APR-2018	GW1804171425GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
211	ALLEGAN	Oak Haven	30	06-JUN-2018	GW1806061020KET	Raw Water	ND	ND	EPA 537 Rev. 1.1
212	OAKLAND	Lakeside Apartments	30	13-JUN-2018	GW1806131015EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
213	OAKLAND	Highland Township	3472	14-JUN-2018	GW1806141250EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
214	EATON	Olivet, City of	1758	21-JUN-2018	GWEF1806211120KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
215	EATON	Olivet, City of	1758	21-JUN-2018	GWEF1806211100KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
216	EATON	Olivet, City of	1758	21-JUN-2018	GWEF1806211140KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
217	KENT	Cedar Springs	3520	29-MAY-2018	GW1805291410EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
218	OAKLAND	Orion Lake Estates MHC	1058	18-JUN-2018	GWEF1806181055EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
219	MUSKEGON	Whitehall	2706	05-JUL-2018	GWIN1807051135GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
220	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101210GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
221	BARRY	Yankee Springs Township	580	23-APR-2018	GW1804231420GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
222	MUSKEGON	Butterfield Woods Subdivision	65	05-JUL-2018	GWNT1807051300GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
223	MONTCALM	Carson City	3477	03-JUL-2018	GWIN1807031530GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
224	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806190930EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
225	MUSKEGON	Arlington Woods	1650	06-JUL-2018	GWNT1807060950GGA	Raw Water	5	5	EPA 537 Rev. 1.1
226	MUSKEGON	White Lake Assisted Living Center	26	05-JUL-2018	GWNT1807051415GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
227	BARRY	Middleville	3261	26-APR-2018	GW1804260915GSC	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
228	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806191050EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
229	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101105GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
230	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101150GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
231	BARRY	Middleville	3261	26-APR-2018	GW1804260940GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
232	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101235GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
233	MUSKEGON	Whitehall	2706	05-JUL-2018	GWEF1807051110GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
234	ALLEGAN	Lynx Golf View	40	30-APR-2018	GW1804301045GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
235	MUSKEGON	Whitehall	2706	05-JUL-2018	GWEF1807051045GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
236	KENT	Wyoming	230113	20-APR-2018	SWT1804301130GSC	Treated Drinking Water	3	3	EPA 537 Rev. 1.1
237	ALLEGAN	Fillmore Township	25	25-APR-2018	GW1804250935GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
238	MONTCALM	Sheridan	649	03-JUL-2018	GWIN1807031430GGA	Treated Drinking Water	2	9	EPA 537 Rev. 1.1
239	KALAMAZOO	Climax Mobile Home Park	198	14-JUN-2018	GWT1806141410GSC-FD	Raw Water	ND	ND	EPA 537 Rev. 1.1
240	ALLEGAN	Fennville	1459	24-APR-2018	GW1804251245GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
241	ALLEGAN	Martin	785	27-APR-2018	GW1804271050GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
242	MUSKEGON	Blue Lake Residences	195	05-JUL-2018	GWEF1807051330GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
243	BARRY	MCTI Family Housing	40	24-APR-2018	GW1804241310GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
244	ALLEGAN	Otsego	3956	27-APR-2018	GW1804271150GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
245	ALLEGAN	Fennville	1459	24-APR-2018	GW1804251300GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
246	KENT	Wyoming	230113	20-APR-2018	SWT1804201135GSC	Treated Drinking Water	ND	ND	Isotope Dilution
247	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806191130EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
248	CALHOUN	Bellvue Mobile Home Park	190	05-JUL-2018	GWEF1807051200	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
249	MONTCALM	Sheridan	649	03-JUL-2018	GWIN1807031445GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
250	KENT	Wyoming	230113	20-APR-2018	SWR1804201125GSC	Raw Water	ND	ND	Isotope Dilution
251	ALLEGAN	Otsego	3956	27-APR-2018	GW1804271145GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
252	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101220GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
253	KENT	Alto Meadows	250	31-MAY-2018	GW1805310955GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
254	ALLEGAN	Lake Doster	1287	24-APR-2018	GW1804241040GSC	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
255	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806191035EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
256	KENT	Spring Valley Mobile Home Park	172	17-APR-2018	GW1804171535CKA	Raw Water	3	12	EPA 537 Rev. 1.1
257	MONTCALM	Sheridan	649	03-JUL-2018	GWIN1807031450GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
258	MUSKEGON	Edgewood Trailer Park	162	05-JUL-2018	GWNT1807051425GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
259	BARRY	Freeport	483	27-APR-2018	GW1804270900GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
260	BARRY	Barry Township	260	24-APR-2018	GW1804241120GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
261	ALLEGAN	Allegan	5390	25-APR-2018	GW1804251430GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
262	BARRY	Nashville	1628	23-APR-2018	GW1804231145GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
263	MUSKEGON	Arlington Woods	1650	06-JUL-2018	GWNT1807060945GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
264	MONTCALM	Carson City	3477	03-JUL-2018	GWIN1807031540GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
265	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806190935EDK-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
266	ALLEGAN	Plainwell	3328	26-APR-2018	GW1804261130GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
267	ALLEGAN	Allegan County Services Center	101	25-APR-2018	GW1804251400GSC	Treated Drinking Water	ND	7	EPA 537 Rev. 1.1
268	MUSKEGON	Arlington Woods	1650	06-JUL-2018	GWNT1807061030GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
269	BARRY	Nashville	1628	23-APR-2018	GW1804231205GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
270	ALLEGAN	Otsego Township	1133	27-APR-2018	GW1804271255GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
271	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101120GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
272	MUSKEGON	Apple Carr Village	1322	06-JUL-2018	GWEF1807061150GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
273	ALLEGAN	Kalamazoo Lake Sewer & Water Authority	3892	25-APR-2018	GW1804251100GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
274	BARRY	Middleville	3261	26-APR-2018	GW1804260950GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
275	ALLEGAN	Kalamazoo Lake Sewer & Water Authority	3892	25-APR-2018	GW1804251120GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
276	OAKLAND	White Lake Township	6000	19-JUN-2018	GW1806191110EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
277	KALAMAZOO	Galesburg	2377	26-JUN-3028	GWIN1806261320GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
278	ALLEGAN	Gun River Estates West	152	24-APR-2018	GW1804241010GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
279	BARRY	Barry Township	260	24-APR-2018	GW1804241130GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
280	ALLEGAN	Gun River Mobile Estates	415	24-APR-2018	GW1804240945GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
281	ALLEGAN	Allegan Mobile Estates	100	30-APR-2018	GW1804301315GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
282	OAKLAND	Crossroads for Youth	120	10-JUL-2018	GWEF1807101140GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
283	ALLEGAN	Kalamazoo Lake Sewer & Water Authority	3892	25-APR-2018	GW1804251045GSC	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
284	CALHOUN	Pennfield Township	3619	21-JUN-2018	GWEF1806211000KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
285	OAKLAND	Knorrwood Knolls Subdivision	240	11-JUN-2018	GWEF1806110805EDK	_	ND	ND	EPA 537 Rev. 1.1
286	ALLEGAN	Wayland	4079	23-APR-2018	GW1804231530GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
287	ALLEGAN	Dorr-Leighton	245	26-APR-2018	GW1804261045GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
288	MUSKEGON	Ravenna	1219	06-JUL-2018	GWEF1807061110GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
289	MUSKEGON	Whitehall	2706	05-JUL-2018	GWEF1807051100GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
290	BARRY	Hastings	7350	23-APR-2018	GW1804231325GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
291	ALLEGAN	Wayland	4079	23-APR-2018	GW1804231500GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
292	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151405KER-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
293	MUSKEGON	Arlington Woods	1650	06-JUL-2018	GWNT1807060930GGA	Raw Water	4	4	EPA 537 Rev. 1.1
294	MUSKEGON	Whitehall	2706	05-JUL-2018	GWEF1807051120GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
295	KENT	Leisure Village	598	17-APR-2018	GW1804171020GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
296	KALAMAZOO	Alamo Nursing Home	100	26-APR-2018	GW1804261305GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
297	KALAMAZOO	Galesburg	2377	26-JUN-2018	GWIN1806261310GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
298	BARRY	MCTI	460	24-APR-2018	GW1804241300GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
299	ALLEGAN	Village East Estates	235	30-APR-2018	GW1804301330GSC	Raw Water	ND	2	EPA 537 Rev. 1.1
300	ALLEGAN	Andrews Mobile Home Park	90	30-APR-2018	GW1804301010GSC	Raw Water	29	39	EPA 537 Rev. 1.1
301	ALLEGAN	Otsego	3956	27-APR-2018	GW1804271135GSC	Treated Drinking Water	ND	11	EPA 537 Rev. 1.1
302	CALHOUN	Bedford Hills	850	21-JUN-2018	GWEF1806210900	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
303	OAKLAND	Oxford Village Condominiums	80	10-JUL-2018	GWEF1807101310GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
304	CALHOUN	Twin Valley	88	20-JUN-2018	GWEF1806201345KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
305	OAKLAND	Pinecrest Apartments	57	20-JUN-2018	GW1806201255EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
306	MUSKEGON	Montague	2479	05-JUL-2018	GWEF1807050925GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
307	ALLEGAN	Plainwell	3328	26-APR-2018	GW1804261155GSC	Treated Drinking Water	23	54	EPA 537 Rev. 1.1
308	CALHOUN	Bedford Hills	850	21-JUN-2018	GWEF1806210930	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
309	OAKLAND	Pinecrest Apartments	57	20-JUN-2018	GW1806201305EDK	Raw Water	ND	8	EPA 537 Rev. 1.1
310	OAKLAND	Old Farm Colony Water Association	246	09-JUL-2018	GWNT1807091005GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
311	MUSKEGON	Montague	2479	05-JUL-2018	GWEF1807050935GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
312	MUSKEGON	Montague	2479	05-JUL-2018	GWEF1807050950GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
313	MUSKEGON	Montague	2479	05-JUL-2018	GWEF1807051000GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
314	CALHOUN	Albion	9144	20-JUN-2018	GWEF1806201000KET	Treated Drinking Water	ND	20	EPA 537 Rev. 1.1
315	KALAMAZOO	Parchment	3174	26-JUL-2018	GWEF1807261700GGA	Treated Drinking Water	280	327	EPA 537 Rev. 1.1
316	KALAMAZOO	Parchment	3174	18-JUN-2018	GWEF1806181400KER	Treated Drinking Water	1,410	1,600	EPA 537 Rev. 1.1
317	KALAMAZOO	Parchment	3174	26-JUL-2018	GWIN1807261710GGA	Treated Drinking Water	390	466	EPA 537 Rev. 1.1
318	KALAMAZOO	Parchment	3174	26-JUL-2018	GWIN1807261720GGA	Treated Drinking Water	1,520	1,828	EPA 537 Rev. 1.1
319	KALAMAZOO	Parchment	3174	26-JUL-2018	GWIN1807261730GGA	Treated Drinking Water	234	271	EPA 537 Rev. 1.1
320	KALAMAZOO	Parchment	3174	18-JUN-2018	GWEF1806181400KER - 2nd Bottle	Treated Drinking Water	1,110	1,290	EPA 537 Rev. 1.1
321	MUSKEGON	Egelcraft Mobile Home Park	1120	06-JUL-2018	GWEF1807061215GGA-FD	Treated Drinking Water	13	21	EPA 537 Rev. 1.1
322	MUSKEGON	Egelcraft Mobile Home Park	1120	06-JUL-2018	GWEF1807061220GGA	Treated Drinking Water	26	49	EPA 537 Rev. 1.1
323	OAKLAND	Heritage Apartments	30	11-JUL-2018	GWEF1807111000GSC	Raw Water	ND	36	EPA 537 Rev. 1.1
324	MUSKEGON	Arlington Woods	1650	06-JUL-2018	GWNT1807061035GGA	Raw Water	5	12	EPA 537 Rev. 1.1
325	MONROE	Bedford Meadows	156	26-JUL-2018	GWEF1807261230GSC-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
326	LIVINGSTON	Cindermill Crossings	645	19-JUL-2018	GWEF1807190905GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
327	JACKSON	Arbor Ridge Condominiums	58	06-JUL-2018	GWEF1807060925KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
328	INGHAM	Columbia Lakes Estates	700	10-JUL-2018	GWEF1807100915KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
329	MONROE	Bedford Meadows	156	26-JUL-2018	GWEF1807261220GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
330	LIVINGSTON	Harvest Hills Subdivision Asso	225	19-JUL-2018	GWEF1807191345GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
331	MONTCALM	Greenbriar Estates	142	09-JUL-2018	GWNT1807091445GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
332	LIVINGSTON	Hidden Lakes of Green Oaks	759	19-JUL-2018	GWEF1807191135GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
333	BARRY	Dunlops Orchard Park	65	09-JUL-2018	GWNT1807091520KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
334	JACKSON	Parma, Village of	768	06-JUL-2018	GWEF1807061400KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
335	LIVINGSTON	Livingston Community Water Authority	1682	19-JUL-2018	GWEF1807191010GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
336	MONTCALM	Howard City	1800	09-JUL-2018	GWEF1807090920GA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
337	OAKLAND	Holly, Village of	8557	12-JUL-2018	GW1807121250GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
338	LIVINGSTON	Tyrone Woods	733	19-JUL-2018	GWEF1807190845GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
339	LIVINGSTON	Srone Ridge	297	19-JUL-2018	GWEF1807191045GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
340	LIVINGSTON	Mystic Ridge L.L.C.	95	19-JUL-2018	GWEF1807191310GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
341	MONTCALM	Howard City	1800	09-JUL-2018	GWEF1807090910GA	Raw Water	ND	ND	EPA 537 Rev. 1.1
342	CALHOUN	Athens	1024	22-JUN-2018	GWEF1806220945KER-FD	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
343	MONTCALM	Tamarack Pines Estates	200	09-JUL-2018	GWNT1807091050GA	Raw Water	ND	ND	EPA 537 Rev. 1.1
344	LIVINGSTON	University Mobile Estates #2	148	19-JUL-2018	GWNT1807191200GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
345	CALHOUN	Athens	1024	22-JUN-2018	GWEF1806220940KER	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
346	JACKSON	Napoleon Township	444	06-JUL-2018	GWNT1807061145KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
347	LIVINGSTON	Coventry Woods MHC	450	19-JUL-2018	GWEF1807191230GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
348	LIVINGSTON	Whitmore Lake Apartments	250	19-JUL-2018	GWEF1807191030GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
349	INGHAM	Dansville, Village of	125	10-JUL-2018	GWIN1807101300KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
350	LIVINGSTON	Millpointe of Heartland	724	19-JUL-2018	GWEF1807190930GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
351	MONTCALM	Greenbriar Estates	142	09-JUL-2018	GWNT1807091430GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
352	LIVINGSTON	Hamburg Hills Estates	350	19-JUL-2018	GWEF1807191245GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
353	LIVINGSTON	Woodland Ridge	1080	19-JUL-2018	GWEF1807191055GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
354	OAKLAND	Woodland Estates MHC	650	11-JUL-2018	GWNT1807111440GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
355	JACKSON	Parma Township-Amberton Vill.	378	06-JUL-2018	GWNT1807060840KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
356	MONTCALM	Lakeview	1007	09-JUL-2018	GWEF1807091010GGA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
357	OAKLAND	College Heights Mobile Home Park	405	19-JUN-2018	GW1806191505EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
358	EATON	Eaton Rapids, City of	5340	28-JUN-2018	GWEF1806281400GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
359	CALHOUN	Creek Valley Mobile Home Park	245	22-JUN-2018	GWNT1806221345KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
360	MUSKEGON	West Pine Island	75	10-JUL-2018	GWNT1807101550GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
361	MONTCALM	Greenville Acres	50	02-JUL-2018	GWNT1807020900GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
362	MUSKEGON	Pine Island Lake Rec Park	75	10-JUL-2018	GWNT1807101530GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
363	EATON	Eaton Green Estates Subdivision	363	27-JUN-2018	GWNT1806270940GSC	Raw Water	3	8	EPA 537 Rev. 1.1
364	EATON	Grand Pointe Subdivision	230	27-JUN-2018	GWNT1806271330GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
365	CALHOUN	Creek Valley North	170	22-JUN-2018	GWNT1806221400KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
366	MONTCALM	Greenville	8511	03-JUL-2018	GWEF1807030950GSC	Treated Drinking Water	ND	5	EPA 537 Rev. 1.1
367	CALHOUN	Creek Valley Mobile Home Park	245	22-JUN-2018	GWNT1806221335KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
368	OAKLAND	Greens Lake Apartments	330	07-JUN-2018	GW1806071040EDK	Raw Water	ND	3	EPA 537 Rev. 1.1
369	EATON	Hi-Way Mobile Haven	168	27-JUN-2018	GWIN1806271415GSC	Treated Drinking Water	3	3	EPA 537 Rev. 1.1
370	EATON	Grand Ledge, City of	8701	29-JUN-2018	GWEF1806290830GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
371	MONTCALM	Great Lake Adventist Academy	360	02-JUL-2018	GWNT1807021130GSC	Raw Water	ND	4	EPA 537 Rev. 1.1
372	EATON	Potterville, City of	2617	27-JUN-2018	GWEF1806271025GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
373	MONTCALM	Edmore	1256	02-JUL-2018	GWINT1807021335GSC	Raw Water	ND	3	EPA 537 Rev. 1.1
374	EATON	Potterville, City of	2617	27-JUN-2018	GWEF1806271005GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
375	KALAMAZOO	Sugarloaf Mobile Home Park	142	26-JUN-2018	GWNT180621520GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
376	OAKLAND	Springs/Portsmouth Apartments	3200	21-JUN-2018	GW1806211015EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
377	EATON	Windsor Estates	718	27-JUN-2018	GWEF1806271150GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
378	MONTCALM	Great Lake Adventist Academy	360	02-JUL-2018	GWNT1807021140GSC	Raw Water	ND	7	EPA 537 Rev. 1.1
379	OAKLAND	Springs/Portsmouth Apartments	3200	21-JUN-2018	GW1806211030EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
380	OAKLAND	Clarkston Lake Estates	1245	20-JUN-2018	GW1806201000EDK	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
381	OAKLAND	Rochester	7130	19-JUN-2018	GW1806191420EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
382	KENT	Oaklfield Mobile Home Park	55	03-JUL-2018	GWIN1807030900GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
383	OAKLAND	Sashabaw Meadows MHP	1278	19-JUN-2018	GW1806191330EDK	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
384	EATON	Sunfield, Village of	680	28-JUN-2018	GWIN1806280850GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
385	OAKLAND	San Marino Villas Subdivision	305	21-JUN-2018	GW1806210930EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
386	EATON	Sunfield, Village of	680	28-JUN-2018	GWIN1806280910GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
387	KENT	Oaklfield Mobile Home Park	55	03-JUL-2018	GWIN1807030910GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
388	CALHOUN	Phoenix Mobile Home Court	82	22-JUN-2018	GWNT1806221245KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
389	MONTCALM	Edmore	1256	02-JUL-2018	GWIN1807021330GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
390	OAKLAND	Kingston Apartments	50	19-JUN-2018	GW1806191205EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
391	MONTCALM	Edmore	1256	02-JUL-2018	GWIN1807021305GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
392	EATON	Misty Cove Senior Apertments	66	28-JUN-2018	GWIN1806281115GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
393	CALHOUN	Birchwood Estates	168	26-JUN-2018	GWNT1806261420GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
394	OAKLAND	Cedarbrook Estates	1728	20-JUN-2018	GW1806200905EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
395	EATON	Charlotte, City of	9074	27-JUN-2018	GWEF1806270910GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
396	IONIA	Ionia	12000	13-JUL-2018	GWIN1807130910GGA	Raw Water	ND	ND	EPA 537 Rev. 1.1
